gene,disease,pubmed_id,year
SOAT1,alzheimers disease,16043284,2005
BACE1,alzheimers disease,14681914,2004
SNCA,alzheimers disease,11173882,2001
APOE,alzheimers disease,12962909,2003
BDNF,alzheimers disease,15375678,2004
BACE1,alzheimers disease,15784960,2005
SNCA,alzheimers disease,11173882,2001
APOD,alzheimers disease,12873803,2003
BDNF,alzheimers disease,11244490,2001
ACE,alzheimers disease,10643899,1999
ABCA2,alzheimers disease,16752360,2006
DLST,alzheimers disease,11825528,2001
APOE,alzheimers disease,16480703,2006
IDE,alzheimers disease,15277615,2004
MPO,alzheimers disease,11161635,2001
BCHE,alzheimers disease,11849755,2002
PLAU,alzheimers disease,12898287,2003
BCHE,alzheimers disease,15834019,2005
BDNF,alzheimers disease,12192623,2002
BCHE,alzheimers disease,11125748,2000
MPO,alzheimers disease,15023809,2004
IL1A,alzheimers disease,15201366,2004
LRP1,alzheimers disease,12898587,2003
IL4,alzheimers disease,9643293,1998
APOE,alzheimers disease,16543533,2006
BCHE,alzheimers disease,15519745,2004
TNF,alzheimers disease,12116197,2002
IDE,alzheimers disease,15024728,2004
LRPAP1,alzheimers disease,11425005,2001
IL1A,alzheimers disease,10953177,2000
TCN2,alzheimers disease,14739547,2004
IL1A,alzheimers disease,10716256,2000
LRP1,alzheimers disease,10394937,1999
APOE,alzheimers disease,10668709,2000
APOC3,alzheimers disease,15862889,2005
APOE,alzheimers disease,12782337,2003
PSEN1,alzheimers disease,9180219,1997
IDE,alzheimers disease,14517947,2003
LRPAP1,alzheimers disease,11425005,2001
ACE,alzheimers disease,12362316,2002
A2M,alzheimers disease,16784755,2006
APOE,alzheimers disease,8624098,1996
APP,alzheimers disease,16685645,2006
APOE,alzheimers disease,15211070,2004
LRP1,alzheimers disease,9178861,1997
APOE,alzheimers disease,10563634,1999
ABCA1,alzheimers disease,16725228,2006
A2M,alzheimers disease,10527839,1999
PON1,alzheimers disease,16319130,2005
APOE,alzheimers disease,11099722,2000
MME,alzheimers disease,14739539,2004
CST3,alzheimers disease,11711204,2001
MPO,alzheimers disease,11161635,2001
APOE,alzheimers disease,9653640,1998
MPO,alzheimers disease,9918702,1999
APOE,alzheimers disease,15519745,2004
NCSTN,alzheimers disease,15249634,2004
CST3,alzheimers disease,11468325,2001
LRP1,alzheimers disease,11076057,2000
CST3,alzheimers disease,10993992,2000
APOE,alzheimers disease,16603077,2006
APOE,alzheimers disease,12951193,2003
MPO,alzheimers disease,11087769,2000
CST3,alzheimers disease,11074789,2000
ABCA1,alzheimers disease,17550732,2007
APOE,alzheimers disease,9121705,1997
ABCB1,alzheimers disease,15288699,2004
APOE,alzheimers disease,14675603,2004
APOE,alzheimers disease,10213152,1999
APOA1,alzheimers disease,16130094,2005
APOE,alzheimers disease,15286454,2004
ACE,alzheimers disease,10675799,2000
APOE,alzheimers disease,9425904,1998
CST3,alzheimers disease,11711204,2001
APOC1,alzheimers disease,14705977,2004
APOE,alzheimers disease,11715411,1999
APOE,alzheimers disease,11803456,2002
APOE,alzheimers disease,9708864,1998
A2M,alzheimers disease,9697696,1998
APOE,alzheimers disease,11775232,2000
HSPA1B,alzheimers disease,12967056,2003
ACE,alzheimers disease,9916793,1999
APOE,alzheimers disease,10208564,1999
A2M,alzheimers disease,14675603,2004
APOE,alzheimers disease,11076057,2000
A2M,alzheimers disease,15023809,2004
ABCA12,alzheimers disease,15980630,2005
CYP46A1,alzheimers disease,12232784,2002
CYP46,alzheimers disease,12533085,2003
CYP46A1,alzheimers disease,12232784,2002
APOE,alzheimers disease,15201366,2004
CYP46A1,alzheimers disease,12533085,2003
APOE,alzheimers disease,10190327,1999
CYP46A1,alzheimers disease,15450677,2004
APOE,alzheimers disease,14720419,2003
APOE,alzheimers disease,9467014,1998
APOE,alzheimers disease,10671320,2000
APOE,alzheimers disease,12581338,2003
A2M,alzheimers disease,12221172,2002
APOE,alzheimers disease,15286456,2004
LDLR,alzheimers disease,12901493,2001
APOE,alzheimers disease,15531082,2004
APOC1,alzheimers disease,11825674,2002
FGF1,alzheimers disease,15358178,2004
CYP46A1,alzheimers disease,15165699,2004
APOE,alzheimers disease,12618306,2003
A2M,alzheimers disease,11231028,2001
APOE,alzheimers disease,12905860,2001
CHAT,alzheimers disease,15276243,2004
APOE,alzheimers disease,15358178,2004
CHAT,alzheimers disease,12401548,2002
CHAT,alzheimers disease,12401548,2002
HTR2A,alzheimers disease,11566166,2001
APOE,alzheimers disease,15165699,2004
APOE,alzheimers disease,10775884,2000
IL1B,alzheimers disease,12928052,2003
IL1B,alzheimers disease,15212826,2004
APOE,alzheimers disease,8350998,1993
APOE,alzheimers disease,11711204,2001
A2M,alzheimers disease,14675603,2004
HTR2A,alzheimers disease,15211529,2004
APOE,alzheimers disease,7944299,1994
APOE,alzheimers disease,11074789,2000
CYP46A1,alzheimers disease,15034781,2004
CYP46A1,alzheimers disease,15286456,2004
APOE,alzheimers disease,10993992,2000
APOE,alzheimers disease,12192623,2002
APBB3,alzheimers disease,12402277,2002
APBB1,alzheimers disease,12727304,2003
APOE,alzheimers disease,11421127,2001
APBB1,alzheimers disease,11065130,2000
APBB1,alzheimers disease,9799084,1998
APOE,alzheimers disease,9596412,1998
APOE,alzheimers disease,9756330,1998
LPA,alzheimers disease,12359323,2002
IL1B,alzheimers disease,15201366,2004
HTR6,alzheimers disease,15531082,2004
APOE,alzheimers disease,15136700,2004
